Structure,Index,Name,Visible,Tagged,Visibility Locked,Color,Calculate Charges,Number of Atoms,Molecular Formula,Molecular Composition,Molecular Weight,Exact Mol. Weight,Net Formal Charge,AbsoluteEnergy,ConfNumber,RelativeEnergy,11b-HSD-1-refinedX005-1-HBA-model4new,11b-HSD-triterpenes-common-features,11b-HSD1-X005-1-HBA-ohneShape-model4,11b-HSD1-X005-1-model1,11b-HSD2-refinedX005-2-model2new,17b-HSD3-DS-model-1-X007-1,17b-HSD3-DS-model-2-X007-31,17b-HSD4-quercetin-Wetzel-final,17b-HSD4-Quercetin-Wetzel-HBA-F-model3-2,17b-HSD4-Quercetin-Wetzel-HBA-F-model8-1,17b-HSD5-1ry8-rut-1.60-x-1,17b-HSD5-1s2c-flf-1.80-x-1-s,17b-HSD5-1s2c-flf-1.80-x-1,17b-HSD5-1s2c-flf-1.80-x-2-s,17b-HSD5-1zq5-e04-1.30-x-2-s,17b-HSD5-2f38-15m-2.00-x-1-s,17b-HSD5-X009-2,17b-HSD7-Fiala-DS-shapemodell_30,17b-HSD7-Fiala-DS-shapemodell_42,17b-HSD7-Fiala-DS-shapemodell_49,5-LO-N004-1,5-LO-N004-2,5-LO-W001-5,AChE-1acj-tha-HBA-vers,AChE-GNT-Hypo1-shape,AChE-X015-1,aromatase-X006-1,aromatase-X006-2,aromatase-X006-3,COX-1-X017-1,CYP2D6-quant-X012-1,CYP2D6-X012-3,CYP2D6-X012-42,FXR-1osh-fex-1.78-d-1,FXR-1osh-fex-1.78-d-2,FXR-3bej-muf-1.90-x-2-s,FXR-3bej-muf-1.90-x-2,FXR-3fli-33y-2.00-x-1-s,FXR-3fli-33y-2.00-x-1,FXR-X008-1,GR-1nhz-486-2.30-T-2,GR-1nhz-486-2.30-T-3,GR-1nhz-486-2.30-T-4,GR-1nhz-486-2.30-T-5,GR-1p93-dex-2.70-T-1,GR-3bqd-day-2.50-T-1,GR-3bqd-day-2.50-T-2,GR-3cld-gw6-2.84-T-1,GR-3e7c-866-2.15-T-1,GR-T001-1,GR-T001-2,GR-T001-3,GR-T002-1,GR-T002-2,GR-T003-1,GR-T007-1,GR-T008-1,GR-T009-1,GR-T010-1,GR-T011-1,GR-T012-1,GR-T013-1,GR-T014-1,GR-T017-1,IKK2-3rzf-xnm-4.00-n-1,IKK2-N001-6,LXR-1pq6,LXR-1pqc,LXR-1uhl,LXR-1upv,LXR-1upw,LXR-2acl,LXR-3fal,LXR-3fc6,model_DS4,mPGES-1-Hypo_62_01-non-acidic,mPGES-1-X019-2,MR-2a3i-c0r-1.95-Z-1,MR-2aa2-as4-1.95-Z-1,MR-2aa2-as4-1.95-Z-2,MR-2oax-snl-2.29-Z-1,MR-Z001-1,MR-Z001-2,MR-Z002-1,MR-Z002-2,NFkB-DNA-site-N003-1,p38-MAPK-1a9u-sb2-800mod1_h,p38-MAPK-1bl6-sb6-800mod1_h,p38-MAPK-1bmk-sb5-800mod1_ha,p38-MAPK-1ouk+shape,p38-MAPK-1wbvneu+shape,p38-MAPK-2rg6-3cg2+shape,p38-MAPK-3dt1-3ctq+shape,PPARa-1i7g-az2-2.24-x-1,PPARa-1k7l-544-2.50-p-1-s,PPARa-1k7l-544-2.50-p-1,PPARa-1kkq-471-3.00-x-1,PPARa-P007-1,PPARd-1gwx-433-2.50-p-1-s,PPARd-1gwx-433-2.50-p-1,PPARd-1y0s-331-2.65-p-1-s,PPARd-1y0s-331-2.65-p-1,PPARd-1y0s-331-2.65-p-2-s,PPARd-2j14-gni-2.80-p-1-s,PPARg-1fm6-brl-2.10-p-1-s,PPARg-1fm6-brl-2.10-p-1,PPARg-1fm9-570-2.10-x-1,PPARg-1fm9-570-2.10-x-2,PPARg-1i7i-az2-2.35-x-1,PPARg-1k74-544-2.30-p-1-s,PPARg-1knu-ypa-2.50-p-1-s,PPARg-1knu-ypa-2.50-p-2-s,PPARg-1nyx-drf-2.65-p-1-s,PPARg-1nyx-drf-2.65-p-1,PPARg-1nyx-drf-2.65-p-2-s,PPARg-1wm0-plb-2.90-p-1-s,PPARg-1zeo-c01-2.50-p-1-s,PPARg-1zeo-c01-2.50-p-1,PPARg-1zgy-brl-1.80-p-1-s,PPARg-2ath-3ea-2.28-p-1-s,PPARg-2f4b-eha-2.07-p-1-s,PPARg-2fvj-ro0-1.99-p-1-s,PPARg-2g0g-sp0-2.54-p-1-s,PPARg-2g0g-sp0-2.54-p-1,PPARg-2g0h-sp3-2.30-p-1-s,PPARg-2gtk-208-2.10-p-1-s,PPARg-2hfp-nsi-2.00-p-1-s,PPARg-2prg-brl-2.30-p-1-s,PPARg-2prg-brl-2.30-p-1,PPARg-2q59-240-2.20-p-1-s,PPARg-4prg-072-2.90-p-1-s,PPARg-P002-1,PTP1b-1bzj-pic-2.25-d-1,PTP1b-1c84-761-2.35-d-1,PTP1b-1c85-oba-2.72-d-1,PTP1b-1c86-opa-2.30-d-1,PTP1b-1c87-opa-2.10-d-1,PTP1b-1c88-ota-1.80-d-1,PTP1b-1ecv-878-1.95-d-2,PTP1b-1gfy-col-2.13-d-1,PTP1b-2bgd-t1d-2.40-d-1,PTP1b-2cnf-f32-2.20-d-1-s,PTP1b-2cnf-f32-2.20-d-1,PTP1b-2cng-ize-1.90-d-1,PTP1b-2cni-izf-2.00-d-1-s,PTP1b-2cni-izf-2.00-d-1
,85,188438-72-4,false,false,false,255 255 255 255,false,,,,,,,98.69,1,19.7879,0.3335,0,0.340999,0,0.539327,0.0632212,0,0,0,0.000303288,0,0,0,0,0,0,0,0,0,0,0.247297,0.226863,0.515456,0,0,0,0,0.858551,0.611683,0.918461,0.58756,0.776356,0,0,0,0,0,0.183126,0.183126,0.577064,0,0,0,0,0,6.22779e-005,0.129741,0,0.152035,9.76202e-005,0.000128129,0.462307,0,0.00869389,0,0,0,0,0,0,0,0,0,0,0,0.110197,0,0,0,0,0,0.021606,0,0,0,0.40042,0,0.383558,0,0.510436,0.238855,0.0174776,0,0.000128129,0.462307,0,0.110988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228246,0.228246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,86,188438-73-5,false,false,false,255 255 255 255,false,,,,,,,120.288,1,19.992,0.112967,0.0324665,0.495439,0,0.408433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0768648,0,0,0,0,0,0,0.829563,0.632336,0.892534,0,0,0,0,0,0,0,0,0.00645531,0.691971,0,0,0,0.0287991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.678097,0,0.249666,0.287369,0,0,0,0,0,0.050128,0.348067,0,0,0,0,0,0,0,0,0.193386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,87,188438-74-6,false,false,false,255 255 255 255,false,,,,,,,116.785,1,19.291,0,0,0.474772,0,0.429067,0.210994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86094e-007,0,0,0,0,0,0,0.826077,0.49067,0.902259,0,0,0,0,0,0,0,0.226108,0.226108,0.684266,0,0,0,0.000170012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148548,0,0,0,0,0,0,0.479721,0,0.241329,0.204563,0,0,0,0,0,0,0.104555,0,3.76458e-005,0,0,0,0,0,0,0.149957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,88,1885097-49-3,false,false,false,255 255 255 255,false,,,,,,,69.6634,1,20.8611,0,0,0,0,0,0,0,1.63162e-005,0.00103608,0.389023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.686035,0.645368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,89,192222-56-3,false,false,false,255 255 255 255,false,,,,,,,101.006,1,19.6026,0.0491871,0,0.277232,0,0.328716,0.0701712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154744,0.268769,0,0,0,0,0,0.855983,0.75032,0.630502,0.700931,0,0,0,0,0,0,0,0,0.519633,0,0,0,0,0,0,0,0,0,0,0,0.621143,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197144,0,0,0,0,0,0.104705,0,0,0,0,0,0.486661,0,0.180509,0.0231164,0,0,0,0.621143,0,0.00357319,0.200484,0,0,0,0,0,0,0,0,0,0,0,1.38483e-009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,90,192222-59-6,false,false,false,255 255 255 255,false,,,,,,,99.3813,1,19.6811,0.0725776,0,0.447367,0,0.25892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140587,0.00514764,0,0,0,0,0,0.844817,0.768373,0.685083,0.716169,0,0,0,0,0,0,0,0,0.639539,0,0,0,0.00695956,0,0,0,0,0,0,0,0.344988,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191255,0,0,0,0,0,0.110257,0,0,0,0,0,0.570028,0,0.0272619,0.0021977,0,0,0,0.344988,0,0.000992489,0.235689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,91,19253-17-9,false,false,false,255 255 255 255,false,,,,,,,54.7966,1,19.9199,0,0,0,0,0,0,0,0.0788052,8.28989e-006,0.350534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.420171,0.852828,0.520901,0.0877705,0.440718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243485,0.0320369,0,0,0,0,0,0,0,0,0,0,0.48143,0,0,0.328501,0,0,0,0,0,0.175046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,92,19445-31-9 (R),false,false,false,255 255 255 255,false,,,,,,,50.778,1,19.9495,0.326532,0,0.4474,0.174605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225476,0.428723,0.771177,0,0,0,0,0.600891,0,0.764671,0.276913,0.848858,0,0,0,0,0,0,0,0.317068,0,0,0,0,0,0.00133207,0.310873,0,0,0,0,0.4745,0.169879,0.206675,0,0,0,0,0,0,0,0,0,0,0,0.279552,0,0.0587776,0,0,0.00291339,0.3281,0,0,0,0.156961,0,0,0,0,0,0,0,0,0.4745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305756,0,0,0,0,0.00498592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,93,19445-32-0 (R),false,false,false,255 255 255 255,false,,,,,,,51.3241,1,20.0039,0.550648,0,0.550648,0,0,0,0,0,0,0.0161955,0,0,0,0,0,0,0,0,0,0,0.138416,0.330531,0.837164,0,0,0,0,0.615329,0,0.832928,0.395874,0.84515,0,0,0,0,0.00108843,0,0,0.48011,0,0,0,0.120527,1.41282e-005,0,0.115971,0,0,0,0.00283941,0.211293,0,0,0,0,0,0,0,0,0,0,0.0274123,0,0.109085,0.180846,0,0.323601,0,0,0.211566,0.564122,0,0,0,0.221977,0,0.155197,0,0,0,0,0,0.00283941,0.211293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,94,196863-37-3,false,false,false,255 255 255 255,false,,,,,,,45.4897,1,19.5764,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376862,0,0,0,0,0,0,0,0,0.281022,0,0,0,0,0.505542,0,0,0.262943,0.744189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0924478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,95,198137-78-9,false,false,false,255 255 255 255,false,,,,,,,93.8899,1,19.8045,0.420936,0,0.467242,0,0.263005,0,0,0,0,0.0144216,0,0,0,0,0,0,0,0,0,0,0.0320603,0.190674,0.0873848,0,0,0,0,0.802479,0.739797,0.616663,0.489952,0.797484,0,0,0,0,0.000110723,0,0,0.207596,0,0,0,0.0412256,0,0,6.58934e-008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401455,0,0,0,0,0,0,0,0,0,0.538699,0,0.247675,0,0.146394,0.0534156,0,0,0,0,0,0.0262469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,96,2'-O-Methylphloretin,false,false,false,255 255 255 255,false,,,,,,,50.8158,1,19.986,0,0,0,0,0,0,0,4.03011e-005,2.27065e-008,0.167749,0,0,0,0,0,0,0,0,0,0,0,0,0.385617,0,0.5385,0,0,0.726654,0,0.321038,0.543002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.539142,0,0,0,0,0,0,0,0,0,0,0.495778,0,0.384304,0.488093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,97,2001064-93-1,false,false,false,255 255 255 255,false,,,,,,,86.1245,1,19.6705,0,0,0,0,0.619364,0,0,0,0,0.259751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.783043,0.484591,0.246684,0.37174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420046,0,0,0,0,0,0,0,0,0,0.198406,0,0.126466,0,0.00112557,0,0,0,0,0,0,0.0308784,0,0,0,0,0,0,0.000572223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,98,2002462-11-3,false,false,false,255 255 255 255,false,,,,,,,66.4831,1,17.8625,0,0,0,0,0,0,0,0.000220768,1.57019e-005,0.47325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722883,0.648219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,99,202535-12-4 (R),false,false,false,255 255 255 255,false,,,,,,,59.6261,1,19.8862,0.223222,0,0.223222,0,0.360245,0,0,9.56077e-008,2.15735e-010,0.00376025,0,0,0,0,0,0,0,0,0,0,0.257062,0.336519,0.675584,0,0,0,0,0.768047,0,0.35138,0.368109,0.892258,0,0,0,0,0,0,0,0.295014,0,0,0,0,0,0,0,0,0,0,0,0.185479,0,0,0,0,0,0,0,0,0,0,0,0,0.203831,0.0771607,0,0.00876463,0,0,0.0760852,0.00164767,0.000125932,0,0,0,0,0.0742605,0,0.0758368,0,0,0,0,0.185479,0,0.37245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136296,0.0136296,0,0,0,0,0,0,0.00466284,0.00466284,0.000562372,0,0,0,0,0.030385,0,0.205949,0,0,0,0.166937,0,0,0,0.0768324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,100,2032374-09-5,false,false,false,255 255 255 255,false,,,,,,,57.0024,1,19.8308,0,0,0,0,0,0,0,4.27478e-005,0.032937,0.295029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.679042,0.542058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,101,2032374-10-8,false,false,false,255 255 255 255,false,,,,,,,58.6722,1,19.8163,0,0,0,0,0,0,0,0.00316216,2.15208e-007,0.345255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0627829,0.727485,0.543057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,102,2032374-16-4,false,false,false,255 255 255 255,false,,,,,,,58.4269,1,19.9849,0,0,0,0,0,0,0,1.11669e-008,0.00123082,0.409881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154332,0,0,0.716579,0.44719,0.154,0.506662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.563202,0,0,0,0,0,0,0,0,0,0,0,0.472151,0.0110849,0.23076,0.471104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,103,2032374-18-6,false,false,false,255 255 255 255,false,,,,,,,55.6792,1,21.5816,0,0,0,0,0,0,0,0.0201633,0.00200308,0.515066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499208,0.751897,0.575338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,104,2032374-19-7,false,false,false,255 255 255 255,false,,,,,,,53.92,1,19.8225,0,0,0,0,0,0,0,0.00637763,0.00232024,0.297685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425204,0.726119,0.571837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,105,2032374-20-0,false,false,false,255 255 255 255,false,,,,,,,55.8343,1,19.7776,0,0,0,0,0,0,0,0.0852955,0.132395,0.471075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.593523,0.772945,0.593523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,106,2032374-21-1,false,false,false,255 255 255 255,false,,,,,,,54.239,1,19.7987,0,0,0,0,0,0,0,0.00344006,0.103083,0.434442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.581371,0.682806,0.607852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,107,2032374-33-5,false,false,false,255 255 255 255,false,,,,,,,68.1479,1,19.8498,0,0,0,0,0.51744,0,0,0,0,0.0273603,0.0415998,0,0,0,0,0,0,0,0,0,0,0.472555,0.86186,0,0,0,0,0.861563,0.612474,0.0289217,0.50954,0.777178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0039875,0,0,0,0,0,0,0.415445,0,0,0,0,0,0,0,0,0,0,0,0.22743,0,0.214968,0.0447358,0,0,0,0,0,0.00119161,0,0,0,0,0,0,0.0462205,0,0,0,0,0,0,0,0,0,0,0.00222854,0.154504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010599,0,0,0,0,0,0.00549451,0.00549451
,108,2032374-35-7,false,false,false,255 255 255 255,false,,,,,,,65.0616,1,19.9821,0,0,0,0,0.352241,0,0,1.53643e-007,0.000567051,0.481652,0,0,0,0,0,0,0,0,0,0,0,0.0595052,0.413438,0,0,0,0,0.807055,0.637567,0.427933,0.439558,0.726548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00203794,0,0,0,0,0,0,0.214296,0,0,0,0,0,0.173202,0,0,0,0,0,0.310758,0,0.189041,0.184026,0,0,0,0,0,0.0502275,0,0,0,0,0,0,0.0569756,0,0,0,0,0,0,0,0,0,0,0.000313607,0.000313607,0,0,0.398524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5403e-010,0,0,0.0723711,0.0723711,0,0,0
,109,2032374-37-9,false,false,false,255 255 255 255,false,,,,,,,66.5998,1,19.9627,0,0,0,0,0.255911,0,0,0,4.20208e-007,0.150065,0,0,0,0,0,0,0,0,0,0,0,0,0.505793,0,0,0,0,0.723047,0.613525,0.0768232,0.387741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267723,0,0,0,0,0,0,0,0,0,0,0,0.248715,0,0.0618738,0.00349789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,110,2032374-39-1,false,false,false,255 255 255 255,false,,,,,,,66.3265,1,19.9604,0,0,0,0,0.542699,0,0,6.72514e-007,0,0.0725127,0,0,0,0,0,0.00516868,0,0,0,0,0,0.333754,0.771421,0,0,0,0,0.869727,0.591518,0.26002,0.430993,0.690954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406963,0,0,0,0,0,0,0.610028,0,0,0,0,0,0,0,0,0,0,0,0.46285,0,0.0782517,0.551529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000738787,0.000738787,0.00133008,8.51863e-006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64592e-005,4.14203e-008,0,0,0,0,0,0,0,0,0,0,0,4.00268e-005,4.00268e-005,0,0,0
,111,2032374-41-5,false,false,false,255 255 255 255,false,,,,,,,62.4886,1,16.8355,0,0,0,0,0.530291,0,0,5.801e-011,9.94187e-008,0.244142,0,0,0,0,0,0,0,0,0,0,0,0,0.557793,0,0,0,0,0.834783,0.575609,0.21269,0.594722,0.654318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.597772,0,0,0,0,0,0.00545731,0,0,0,0,0,0.411391,0.298237,0.500993,0.320029,0,0,0,0,0,0,0,0,0,0,0,0,0.00146142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000407893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20067,0,0,0,0,0,0,0
,112,2032374-43-7,false,false,false,255 255 255 255,false,,,,,,,68.3501,1,19.794,0,0,0,0,0.476413,0,0,0.000941072,0.00129864,0.306429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.797931,0.606674,0,0.441533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.420646,0,0,0,0,0,0,0,0,0,0,0,0.297408,0,0,0.108614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00738072,0,0,0,0,0,0,0
