125574-36-9;Cc1c(O)c2C[C@@H](O)C(C)(C)Oc2c(C(=O)CCc3ccccc3)c1O
1263062-45-8;CC1O[C@H](Oc2cc(O)cc(O)c2C(=O)CCc3ccccc3)[C@H](O)C(O)[C@@H]1O
1265619-21-3;O[C@H]1CO[C@H](Oc2cc(CCC(=O)c3c(O)cc(O)cc3O)ccc2O)[C@H](O)C1O
130893-62-8;COc1ccc(CCC(=O)c2c(O)cc(O)cc2OC)cc1OC
1320346-19-7;OCC1O[C@@H](Oc2ccccc2C(=O)CCc3ccccc3)[C@@H](O)C(O)[C@@H]1O
133347-38-3 (R);O[C@H](CC(=O)c1ccc(O)cc1O)c2ccccc2
133347-38-3 (S);O[C@@H](CC(=O)c1ccc(O)cc1O)c2ccccc2
135383-81-2;Oc1cc(O)c(C(=O)CCc2ccccc2)c(O)c1C=O
137196-97-5;COc1ccc2[C@H](CC(=O)c3c(O)cc(O)cc3O)[C@H](Cc2c1OC)C(C)(C)O
1379647-91-2;O[C@@H]1C(COC(=O)c2ccc(O)cc2)O[C@@H](Oc3cc(O)ccc3C(=O)CCc4ccc(O)cc4)[C@@H](O)C1O
1379647-92-3;OCC1O[C@@H](Oc2cc(O)ccc2C(=O)CCc3ccc(O)cc3)[C@@H](OC(=O)c4ccc(O)cc4)C(O)[C@@H]1O
1379647-93-4;OCC1OC(Oc2cc(O)ccc2C(=O)CCc3ccc(O)cc3)C(O)C(OC(=O)c4ccc(O)cc4)C1O
1379647-94-5;COc1cc(cc(OC)c1O)C(=O)OCC2O[C@@H](Oc3cc(O)ccc3C(=O)CCc4ccc(O)cc4)[C@@H](O)C(O)[C@@H]2O
1391982-39-0;COc1c(CCC(=O)c2ccccc2)c(O)c(c(OC)c1OC)c3c(O)c(CCC(=O)c4ccccc4)c(OC)c(OC)c3OC
139644-40-9;COc1cc(O)c(C(=O)CCc2ccc(O)cc2)c(OC)c1OC
145544-40-7;COc1cc(O)ccc1C(=O)CCc2ccccc2
1459216-74-0;COc1cc(O)c(Cc2ccccc2O)c(O)c1C(=O)CCc3ccc(O)cc3
1469493-57-9;COc1cc(O)cc(OC)c1C(=O)CCc2ccc(O)cc2
15097-74-2;Oc1ccc(cc1)C(=O)CCc2ccc(O)cc2O
151752-07-7;COc1cc(O)c(CCC(=O)c2ccc(O)cc2)c(OC)c1
151752-08-8;COc1cc(O)cc(OC)c1CCC(=O)c2ccc(O)cc2
155205-26-8;COC1=C(Oc2c(Cc3c(O)c(C(=O)CCc4ccccc4)c(O)c(C)c3OC)c(O)cc(O)c2C1=O)c5ccccc5
155205-27-9;COC1=C(Oc2c(Cc3c(OC)c(C)c(OC)c(C(=O)CCc4ccccc4)c3OC)c(OC)cc(OC)c2C1=O)c5ccc(OC)cc5
155205-28-0;COC1=C(Oc2c(Cc3c(OC)c(C)c(OC)c(C(=O)CCc4ccccc4)c3OC)c(OC)cc(OC)c2C1=O)c5ccccc5
155205-29-1;COc1cc(O)c(C(=O)CCc2cc(C)c(O)c(C)c2)c(O)c1
156728-62-0;OCC1O[C@@H](Oc2cccc(O)c2C(=O)CCc3ccc(OC(=O)c4ccccc4)cc3)[C@@H](O)C(O)[C@@H]1O
156788-64-6;CC(=CCC\C(=C/Cc1cc(CCC(=O)c2c(O)cc(O)cc2O)cc(CC=C(C)C)c1O)\C)C
156788-65-7;CC(=CCc1cc(CCC(=O)c2c(O)cc(O)cc2O)cc(CC=C(C)C)c1O)C
157528-83-1;COc1cc(O)c(C(=O)CCc2ccc(OC)c(OC)c2)c(O)c1
1602512-80-0;COc1ccc(CCC(=O)c2c(O)c(Cc3ccccc3O)c(O)cc2OC)cc1
1608149-24-1;O[C@@H]1CO[C@@H](Oc2cc(O)cc(O)c2C(=O)CCc3ccc(O)cc3)[C@@H](O)C1O
1609489-49-7;CC1O[C@H](OCC2O[C@@H](Oc3cc(O)cc(O)c3C(=O)CCc4ccc(O)cc4)[C@H](O)C(O)[C@@H]2O)[C@H](O)C(O)[C@@H]1O
1616781-50-0;OC[C@@]1(O)CO[C@@H](OCC2OC(Oc3cc(O)cc(O)c3C(=O)CCc4ccc(O)cc4)C(O)C(O)C2O)[C@@H]1O
1622944-95-9;OCC1O[C@H]([C@@H](O)C(O)[C@@H]1O)c2cc(CCC(=O)c3c(O)cc(O)cc3O)cc([C@@H]4OC(CO)[C@@H](O)C(O)[C@@H]4O)c2O
1637325-52-0;CC(=CCc1cc(CCC(=O)c2c(O)cc3OC(C)(C)CCc3c2O)ccc1O)C
1637325-53-1;CC1(C)CCc2c(O)c(C(=O)CCc3ccc4OC5(C)CCCC(C)(C)C5Cc4c3)c(O)cc2O1
163860-19-3;C[C@@H](Cc1ccc(O)cc1)[C@@H](C)[C@H](c2ccc(O)cc2)c3c(O)cc(O)c(C(=O)CCc4ccc5OCCc5c4)c3O
